lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
130	1	2022.06301369863	2021.9687612336943	nonENG	2022.06301369863	2022.06301369863
131	1	2022.0109589041097	2021.9627706411757	nonENG	2022.0109589041097	2022.0109589041097
132	1	2022.0383561643837	2021.9768415942503	nonENG	2022.0383561643837	2022.0383561643837
133	1	2021.975342465753	2021.9556827865376	nonENG	2021.975342465753	2021.975342465753
134	1	2022.07397260274	2021.9866313245568	nonENG	2022.07397260274	2022.07397260274
135	1	2022.035616438356	2021.9826666401448	nonENG	2022.035616438356	2022.035616438356
136	1	2022.06301369863	2022.0272935924104	nonENG	2022.06301369863	2022.06301369863
137	3	2021.9562208540876	2021.9486284664408	nonENG	2021.958904109589	2022.0657534246573
138	5	2021.9845451617448	2021.9664911554207	nonENG	2021.9972602739729	2022.0794520547945
139	2	2022.02535763214	2021.9943854231176	nonENG	2022.041095890411	2022.0602739726028
140	1	2022.020815823825	2022.0083626535077	nonENG	2022.0301369863012	2022.0301369863012
141	1	2022.0684931506848	2022.043548162505	nonENG+ENG	2022.0684931506848	2022.0684931506848
142	2	2022.018111562479	2021.968969457246	nonENG	2022.027397260274	2022.0328767123287
143	1	2022.0575342465756	2022.0395209755743	nonENG	2022.0575342465756	2022.0575342465756
144	1	2021.9653043442704	2021.962479450264	nonENG	2021.9972602739729	2021.9972602739729
145	1	2022.027397260274	2021.991939695716	nonENG	2022.027397260274	2022.027397260274
146	1	2021.9971462531623	2021.9895792265108	nonENG	2022.0438356164384	2022.0438356164384
147	1	2022.0821917808216	2022.051784037813	nonENG	2022.0821917808216	2022.0821917808216
148	2	2021.9620227052983	2021.9577442157447	nonENG	2021.9890410958903	2022.013698630137
149	1	2022.054794520548	2021.9776869625648	nonENG	2022.054794520548	2022.054794520548
150	1	2022.035616438356	2022.0080192072303	nonENG	2022.035616438356	2022.035616438356
151	1	2022.0794520547945	2022.055060275913	nonENG	2022.0794520547945	2022.0794520547945
152	1	2022.0520547945205	2021.9799567816535	nonENG	2022.0520547945205	2022.0520547945205
153	1	2021.9945205479453	2021.9742473307008	nonENG	2021.9945205479453	2021.9945205479453
154	2	2022.0237822724991	2022.018932152802	nonENG	2022.0602739726028	2022.0821917808216
155	2	2022.0304887976572	2021.974528999036	nonENG	2022.0383561643837	2022.041095890411
156	1	2022.054794520548	2022.0069631012927	nonENG	2022.054794520548	2022.054794520548
157	2	2022.0112641815256	2021.9783342633164	nonENG	2022.035616438356	2022.0767123287671
158	1	2021.975342465753	2021.9750631852569	nonENG	2021.975342465753	2021.975342465753
159	1	2021.972602739726	2021.9620313598584	nonENG	2021.972602739726	2021.972602739726
160	1	2022.013698630137	2021.9724539603144	nonENG	2022.013698630137	2022.013698630137
161	1	2022.0602739726028	2021.9935155551616	nonENG	2022.0602739726028	2022.0602739726028
162	1	2021.9890410958903	2021.9728171135096	nonENG	2021.9890410958903	2021.9890410958903
