code,0_4,5_11,12_15,16_17,18_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_999,total
E07000139,5718,9614,5210,2474,7211,6506,6943,6992,6611,7757,8960,8891,7394,6862,7707,5873,4145,2177,1104,118149
E07000140,5037,7823,4064,1912,6013,4931,5769,5400,5299,6233,6777,7093,6214,5905,6414,4577,3311,1980,1105,95857
E07000141,7114,12108,7018,3227,8243,6820,7638,8131,8291,9768,10678,10975,9658,8802,9393,6710,4418,2625,1608,143225
E07000142,4520,7576,4310,2026,5813,4915,4948,4993,4972,6015,7245,7728,6885,6467,6879,4960,3181,1802,951,96186
E07000150,5014,7752,3766,1670,4887,4615,5495,6020,4905,4549,4943,4959,3999,3294,2859,1914,1331,715,366,73053
E07000151,4696,7354,4203,1956,5385,4688,5008,5030,5117,6155,6931,6788,5656,5050,5205,3509,2218,1278,724,86951
E07000152,4986,7875,5002,2426,6116,4866,5222,5408,5647,6849,7576,7040,5857,5537,5826,3888,2533,1500,949,95103
E07000153,6168,9602,5191,2366,6729,6082,6482,6652,6582,7285,7375,6988,5503,5171,5510,3746,2472,1407,900,102211
E07000154,15437,22439,11422,4916,19088,14059,15363,16551,15042,15075,14536,13962,11378,9806,9710,6535,4534,2818,1619,224290
E07000155,4947,8391,4735,2237,5652,4778,5445,5522,5945,7053,7683,7422,6079,5212,5889,3828,2398,1432,844,95492
E07000156,4726,7739,4112,1959,5333,4212,4690,5189,4845,5563,5878,5433,4713,4368,4525,3049,1931,1163,653,80081
E07000170,7073,11200,5986,2762,9373,7932,8811,7993,7417,8445,9488,9292,7646,6762,6702,5275,3418,1835,927,128337
E07000171,6209,9746,5299,2574,7768,6752,6496,6644,6529,7827,9027,9164,7829,7053,7363,5280,3487,2091,1142,118280
E07000172,5519,8910,4986,2212,9391,7477,7740,7002,6844,7384,8064,7913,6924,6158,6745,4816,3396,1985,1161,114627
E07000173,5933,9650,5458,2526,7747,7049,7569,7340,7376,8109,8581,8643,7302,6658,6870,4783,3605,2076,964,118239
E07000174,6210,9615,4897,2202,7271,7077,7230,7351,6239,6918,7941,8052,6933,6049,5735,4233,2858,1645,895,109351
E07000175,6200,10191,5628,2592,8309,7176,7064,6855,6783,7988,9298,9268,8195,7280,7734,5502,3744,2101,1219,123127
E07000176,5917,10286,6013,2687,9020,6972,6882,7305,7826,8346,8828,8592,7203,6464,6861,4925,3530,2345,1414,121416
E06000019,8929,14933,8286,3881,11989,10501,11291,10906,10369,11626,14134,14835,13477,12844,13004,9512,6635,4094,2369,193615
E06000051,14788,23835,14510,7160,20382,16700,18049,17607,17359,20968,24571,25659,22611,21224,21875,16293,11161,6671,3992,325415
E06000021,16391,23900,12394,5620,23232,18393,18329,17075,14266,15498,16598,16336,14176,12396,12265,8718,6066,3339,1630,256622
E06000020,10789,17319,9445,4093,14737,11609,11523,12001,10908,12063,13043,12151,9902,9229,8791,6220,4135,2241,1123,181322
E07000192,5412,8129,4603,2155,7214,6677,6976,6676,5766,6919,7909,7458,5964,5301,5349,3942,2698,1457,879,101484
E07000193,7138,10736,5734,2750,8515,7526,7456,7751,7183,7948,8854,8640,7289,6274,6225,4699,3272,1902,1031,120923
E07000194,5147,8146,4721,2269,7009,5734,5794,5830,6085,7195,7878,7888,6579,6130,6929,5754,3522,1928,1099,105637
E07000195,5872,9463,5560,2629,13792,9070,8367,7373,7092,7922,9072,8778,7673,6996,7276,5369,3742,2306,1258,129610
E07000196,5060,7854,4728,2316,7828,6336,6095,5912,5798,7334,8679,8962,7657,6962,7454,5893,4087,2203,1211,112369
E07000197,6755,10590,6258,2792,8798,8504,8480,8064,7890,9255,10364,10231,8727,7961,8390,6467,4448,2470,1414,137858
E07000198,4133,7162,4378,2122,6218,4963,4972,5014,5062,6787,7970,7797,6799,6365,7163,5156,3465,1886,1015,98427
E07000199,4431,6754,3673,1805,5609,4662,5108,5024,4624,5139,5598,5029,4565,4250,4201,2962,1923,999,508,76864
E07000218,3291,5233,2904,1381,4415,3832,3879,3791,3510,4534,5011,5031,4354,3761,3933,2914,1938,1090,650,65452
E07000219,8089,11514,6134,2794,9290,8046,8678,8501,7827,8272,9502,8991,7565,6860,6931,5163,3415,1911,890,130373
E07000220,6590,10159,5714,2679,7259,6356,7300,7645,7262,7592,7797,7561,5852,5159,5401,4443,3043,1712,1126,110650
E07000221,6388,9912,5850,2731,8271,6724,6906,7006,7049,8940,9961,10188,8856,8146,8936,6966,4833,2895,1844,132402
E07000222,7431,11328,6167,2864,16588,11365,8860,8468,8743,9243,9631,9323,7623,6774,7112,5425,3924,2451,1589,144909
E08000025,79650,114772,62696,29391,139866,97954,83554,74911,68219,65245,65426,60245,49184,41424,36517,27821,21633,13797,8220,1140525
E08000026,22395,33658,16930,7824,54284,39888,33113,25113,20787,20129,20224,18747,15832,13266,12914,10082,7416,4285,2500,379387
E08000027,18466,28064,15712,7352,23791,20055,20412,19953,18434,20771,23364,22108,18225,16620,16854,13785,9840,5693,2864,322363
E08000028,22938,33858,18066,8133,26329,22375,24061,24347,20761,20903,21928,19997,16048,13430,12392,9915,7187,4208,2166,329042
E08000029,12069,19640,11066,5170,15317,12442,12568,12856,12886,14159,15742,15425,12526,11040,12034,9232,6540,4250,2525,217487
E08000030,19265,27896,15158,7056,22862,18919,19566,18927,16764,17923,19161,18216,14950,12945,12595,10204,7631,4411,2267,286716
E08000031,17336,26172,13552,5991,20759,18578,19340,18067,16128,17124,17537,16365,13652,11785,10653,8438,6546,4137,2247,264407
E07000234,5267,8515,4853,2194,6003,5336,5604,5831,6114,6972,7644,7259,6129,5749,5897,4538,3225,2070,1369,100569
E07000235,3191,5855,3574,1819,4404,3651,3551,3577,4141,4981,6040,6409,5845,5597,5989,4438,3149,1979,1255,79445
E07000236,5180,7775,4280,1873,5922,5242,5841,6252,5542,5600,5640,5383,5032,4843,4593,2993,1892,1044,641,85568
E07000237,5466,8325,4586,2104,10179,7555,6654,6433,5953,6483,6919,6573,5349,4807,4662,3425,2424,1537,831,100265
E07000238,6323,10213,5774,2718,7859,6298,6866,7023,7062,8505,10042,10183,8976,8633,9103,6559,4458,2696,1793,131084
E07000239,5077,8027,4286,2078,6557,5431,5751,5459,5431,6637,7597,7322,6236,6309,7096,5383,3413,1916,1133,101139
E06000055,11385,16709,8818,4261,12378,9400,10780,11879,11678,11769,12510,11812,9886,8329,8408,5790,4258,2862,1775,174687
E06000056,18161,26675,13963,6398,19000,17245,21026,20679,19665,20040,21117,20608,16887,14333,14589,10247,6991,4215,2257,294096
E06000032,17037,23834,11860,5343,17129,14527,17612,17532,14549,12945,12553,12038,9597,7530,6510,4788,4201,2548,1395,213528
E06000031,14977,22453,10521,4577,13663,12857,15695,15739,13705,13164,13079,11856,9847,8609,8044,5452,4159,2695,1534,202626
E06000033,10781,16302,8795,3858,12506,10174,11209,12244,12538,13000,13009,12442,10254,9062,9527,6768,4954,3217,2133,182773
E06000034,13104,18492,9635,4150,12529,10967,13465,13759,12506,12110,12031,10509,8176,7009,6890,4386,3070,1810,933,175531
E07000008,6886,10065,5120,2483,25805,12465,7314,6555,6774,6585,6870,6359,5134,4549,4036,2980,2300,1630,1153,125063
E07000009,4755,8249,4550,2042,5425,4378,5068,5983,6130,6595,6698,6296,5347,4902,5139,3594,2498,1568,955,90172
