lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
105	4	2022.023982148117	2022.0070264394617	nonENG	2022.0465753424655	2022.054794520548
106	1	2022.0465753424655	2022.0231406198789	nonENG	2022.0465753424655	2022.0465753424655
107	1	2022.0794520547945	2022.0583887578737	nonENG	2022.0794520547945	2022.0794520547945
108	1	2022.013698630137	2021.962149899436	nonENG	2022.013698630137	2022.013698630137
109	2	2022.059039114939	2021.95987125051	nonENG+ENG	2022.0657534246573	2022.0684931506848
110	1	2021.9616438356163	2021.957439351732	nonENG	2021.9616438356163	2021.9616438356163
111	3	2021.965590941969	2021.953454989999	nonENG	2021.9917808219177	2022.0794520547945
112	1	2022.013698630137	2021.998281237206	nonENG	2022.013698630137	2022.013698630137
113	1	2022.0054794520547	2021.9882642806335	nonENG	2022.0054794520547	2022.0054794520547
114	1	2022.054794520548	2022.018080973476	nonENG	2022.054794520548	2022.054794520548
115	3	2022.054512202264	2022.040187978901	nonENG	2022.0575342465756	2022.0657534246573
116	1	2022.049315068493	2022.030544711189	nonENG+ENG	2022.049315068493	2022.049315068493
117	3	2022.018258629742	2022.0135230787944	nonENG	2022.0328767123287	2022.0684931506848
118	4	2022.062094331173	2022.0257951859965	nonENG	2022.0794520547945	2022.0821917808216
119	1	2022.0438356164384	2021.9848113339965	nonENG	2022.0438356164384	2022.0438356164384
120	1	2022.07397260274	2022.0634240860368	nonENG	2022.07397260274	2022.07397260274
121	1	2022.0328767123287	2021.9854591581604	nonENG	2022.0328767123287	2022.0328767123287
122	2	2021.96909881775	2021.9670138500285	nonENG	2022.0	2022.0794520547945
123	2	2022.0309958046623	2021.981434673963	nonENG	2022.0657534246573	2022.0794520547945
124	1	2022.0301369863012	2021.977388445646	nonENG	2022.0301369863012	2022.0301369863012
125	1	2022.0465753424655	2021.9859062117164	nonENG	2022.0465753424655	2022.0465753424655
126	1	2021.9917808219177	2021.9747269437644	nonENG+ENG	2021.9917808219177	2021.9917808219177
127	2	2022.065924549616	2021.990219181023	nonENG	2022.0684931506848	2022.0767123287671
