tl	ntaxa	import_est	import_est_date
BA115_559	1	2021.99459383779	2021-12-30
BA115_560	2	2021.96172995274	2021-12-18
BA115_561	23	2021.93011496597	2021-12-06
BA115_562	3	2021.99525875621	2021-12-30
BA115_563	1	2022.0142132399	2022-01-06
BA115_564	2	2021.99211704085	2021-12-29
BA115_565	1	2022.05936786047	2022-01-22
BA115_566	1	2021.99399255773	2021-12-29
BA115_567	3	2021.96705546012	2021-12-19
BA115_568	1	2022.00680982262	2022-01-03
BA115_569	2	2021.96729206977	2021-12-20
BA115_570	2	2021.96842276129	2021-12-20
BA115_571	1	2021.98716552791	2021-12-27
BA115_572	1	2021.99837169202	2021-12-31
BA115_573	1	2022.0327678724	2022-01-12
BA115_574	4	2021.95098348594	2021-12-14
BA115_575	1	2022.0190531076	2022-01-07
BA115_576	1	2021.98474723764	2021-12-26
BA115_577	1	2021.99435031276	2021-12-29
